"ID","Priority","Device Name","Alarm Name","Alarm Details","Start Time (Client Local) India Standard Time","Start Time (Device Local)","End Time (Client Local) India Standard Time","End Time (Device Local)"
"2869",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2026-01-25 11:17:54.142","2026-01-25 11:17:54.142 (India Standard Time)","2026-01-25 12:47:05.465","2026-01-25 12:47:05.465 (India Standard Time)"
"2870",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2026-01-25 11:18:16.323","2026-01-25 11:18:16.323 (India Standard Time)","2026-01-25 11:27:17.149","2026-01-25 11:27:17.149 (India Standard Time)"
"2871",194,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Under Voltage","Voltage A-B – Extreme: 372.641","2026-01-25 11:32:49.569","2026-01-25 11:32:49.569 (India Standard Time)","2026-01-25 12:53:53.866","2026-01-25 12:53:53.866 (India Standard Time)"
"2872",194,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Under Voltage","Voltage B-C – Extreme: 0.0","2026-01-25 11:32:49.569","2026-01-25 11:32:49.569 (India Standard Time)","2026-01-25 12:53:53.866","2026-01-25 12:53:53.866 (India Standard Time)"
"2873",194,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Under Voltage","Voltage C-A – Extreme: 352.687","2026-01-25 11:32:49.569","2026-01-25 11:32:49.569 (India Standard Time)","2026-01-25 12:53:53.866","2026-01-25 12:53:53.866 (India Standard Time)"
"2874",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2026-01-25 12:09:20.568","2026-01-25 12:09:20.568 (India Standard Time)","2026-01-25 12:48:23.816","2026-01-25 12:48:23.816 (India Standard Time)"
"2875",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2026-01-25 12:45:57.908","2026-01-25 12:45:57.908 (India Standard Time)","2026-01-25 12:54:58.716","2026-01-25 12:54:58.716 (India Standard Time)"
"2876",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2026-01-25 12:46:34.209","2026-01-25 12:46:34.209 (India Standard Time)","2026-01-25 13:55:40.046","2026-01-25 13:55:40.046 (India Standard Time)"
"2877",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2026-01-25 14:09:10.366","2026-01-25 14:09:10.366 (India Standard Time)","2026-01-26 07:18:03.457","2026-01-26 07:18:03.457 (India Standard Time)"
"2878",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2026-01-26 07:16:11.386","2026-01-26 07:16:11.386 (India Standard Time)","2026-01-26 07:25:39.770","2026-01-26 07:25:39.770 (India Standard Time)"
