"ID","Priority","Device Name","Alarm Name","Alarm Details","Start Time (Client Local) India Standard Time","Start Time (Device Local)","End Time (Client Local) India Standard Time","End Time (Device Local)"
"2724",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2025-11-03 12:58:58.636","2025-11-03 12:58:58.636 (India Standard Time)","2025-11-03 13:58:25.876","2025-11-03 13:58:25.876 (India Standard Time)"
"2725",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2025-11-03 12:59:40.986","2025-11-03 12:59:40.986 (India Standard Time)","2025-11-03 13:58:44.556","2025-11-03 13:58:44.556 (India Standard Time)"
"2726",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2025-11-03 13:53:10.676","2025-11-03 13:53:10.676 (India Standard Time)","2025-11-03 14:02:11.448","2025-11-03 14:02:11.448 (India Standard Time)"
"2727",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2025-11-03 14:05:54.012","2025-11-03 14:05:54.012 (India Standard Time)","2025-11-06 07:44:36.254","2025-11-06 07:44:36.254 (India Standard Time)"
"2729",201,"POWERHOUSE_1.E_BLOCK","Communication Status","Communications restored","2025-11-05 10:18:20.978","2025-11-05 10:18:20.978 (India Standard Time)","2025-11-05 10:27:22.151","2025-11-05 10:27:22.151 (India Standard Time)"
"2731",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2025-11-06 07:45:58.772","2025-11-06 07:45:58.772 (India Standard Time)","2025-11-06 07:54:42.100","2025-11-06 07:54:42.100 (India Standard Time)"
"2732",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2025-11-06 07:46:42.920","2025-11-06 07:46:42.920 (India Standard Time)","2025-11-06 07:55:33.082","2025-11-06 07:55:33.082 (India Standard Time)"
"2733",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2025-11-06 08:00:06.674","2025-11-06 08:00:06.674 (India Standard Time)","2025-11-06 09:08:43.232","2025-11-06 09:08:43.232 (India Standard Time)"
"2734",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2025-11-06 09:03:53.815","2025-11-06 09:03:53.815 (India Standard Time)","2025-11-06 16:43:04.770","2025-11-06 16:43:04.770 (India Standard Time)"
"2735",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2025-11-06 09:04:17.957","2025-11-06 09:04:17.957 (India Standard Time)","2025-11-06 16:43:29.710","2025-11-06 16:43:29.710 (India Standard Time)"
"2736",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2025-11-06 16:44:56.616","2025-11-06 16:44:56.616 (India Standard Time)","2025-11-20 19:06:33.627","2025-11-20 19:06:33.627 (India Standard Time)"
"2737",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2025-11-20 19:01:34.271","2025-11-20 19:01:34.271 (India Standard Time)","2025-11-20 19:10:37.560","2025-11-20 19:10:37.560 (India Standard Time)"
"2738",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2025-11-20 19:02:09.818","2025-11-20 19:02:09.818 (India Standard Time)","2025-11-20 19:10:41.123","2025-11-20 19:10:41.123 (India Standard Time)"
"2739",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2025-11-20 19:12:17.068","2025-11-20 19:12:17.068 (India Standard Time)","2025-11-20 19:21:17.862","2025-11-20 19:21:17.862 (India Standard Time)"
"2740",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2025-11-20 19:17:34.565","2025-11-20 19:17:34.565 (India Standard Time)","2025-11-20 20:26:11.522","2025-11-20 20:26:11.522 (India Standard Time)"
"2742",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2025-11-20 20:24:42.674","2025-11-20 20:24:42.674 (India Standard Time)","2025-11-20 20:33:43.432","2025-11-20 20:33:43.432 (India Standard Time)"
"2743",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2025-11-20 20:24:46.088","2025-11-20 20:24:46.088 (India Standard Time)","2025-11-20 20:33:47.087","2025-11-20 20:33:47.087 (India Standard Time)"
"2745",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2025-11-20 20:32:52.257","2025-11-20 20:32:52.257 (India Standard Time)","2025-11-20 20:41:53.139","2025-11-20 20:41:53.139 (India Standard Time)"
"2746",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2025-11-20 20:39:42.164","2025-11-20 20:39:42.164 (India Standard Time)","2025-11-26 10:18:14.498","2025-11-26 10:18:14.498 (India Standard Time)"
"2747",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2025-11-26 10:14:34.666","2025-11-26 10:14:34.666 (India Standard Time)","2025-11-26 10:23:35.430","2025-11-26 10:23:35.430 (India Standard Time)"
"2748",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2025-11-26 10:14:42.621","2025-11-26 10:14:42.621 (India Standard Time)","2025-11-26 10:23:43.210","2025-11-26 10:23:43.210 (India Standard Time)"
"2750",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2025-11-26 10:17:04.683","2025-11-26 10:17:04.683 (India Standard Time)","2025-11-26 10:26:05.496","2025-11-26 10:26:05.496 (India Standard Time)"
"2751",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2025-11-26 10:21:44.428","2025-11-26 10:21:44.428 (India Standard Time)","2025-11-26 14:10:36.496","2025-11-26 14:10:36.496 (India Standard Time)"
"2752",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2025-11-26 14:09:19.446","2025-11-26 14:09:19.446 (India Standard Time)","2025-11-26 14:18:20.205","2025-11-26 14:18:20.205 (India Standard Time)"
"2753",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2025-11-26 14:09:29.433","2025-11-26 14:09:29.433 (India Standard Time)","2025-11-26 14:18:30.218","2025-11-26 14:18:30.218 (India Standard Time)"
"2755",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2025-11-26 14:11:29.795","2025-11-26 14:11:29.795 (India Standard Time)","2025-11-26 14:20:27.980","2025-11-26 14:20:27.980 (India Standard Time)"
"2756",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2025-11-26 14:16:06.390","2025-11-26 14:16:06.390 (India Standard Time)","2025-12-01 17:34:39.917","2025-12-01 17:34:39.917 (India Standard Time)"
"2757",201,"POWERHOUSE_1.B_BLOCK","Communication Status","Communications restored","2025-11-30 10:30:40.697","2025-11-30 10:30:40.697 (India Standard Time)","2025-11-30 10:39:40.686","2025-11-30 10:39:40.686 (India Standard Time)"
"2758",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2025-11-30 10:38:13.730","2025-11-30 10:38:13.730 (India Standard Time)","2025-11-30 10:47:17.101","2025-11-30 10:47:17.101 (India Standard Time)"
"2759",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2025-12-01 17:31:54.027","2025-12-01 17:31:54.027 (India Standard Time)","2025-12-01 17:40:54.727","2025-12-01 17:40:54.727 (India Standard Time)"
"2760",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2025-12-01 17:32:23.605","2025-12-01 17:32:23.605 (India Standard Time)","2025-12-01 17:41:24.618","2025-12-01 17:41:24.618 (India Standard Time)"
"2761",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2025-12-01 17:34:39.950","2025-12-01 17:34:39.950 (India Standard Time)","2025-12-01 17:43:40.390","2025-12-01 17:43:40.390 (India Standard Time)"
"2762",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2025-12-01 17:39:09.837","2025-12-01 17:39:09.837 (India Standard Time)","2025-12-04 09:07:45.265","2025-12-04 09:07:45.265 (India Standard Time)"
"2763",201,"POWERHOUSE_1.B_BLOCK","Communication Status","Communications restored","2025-12-04 09:04:40.062","2025-12-04 09:04:40.062 (India Standard Time)","2025-12-04 09:23:41.683","2025-12-04 09:23:41.683 (India Standard Time)"
"2764",201,"POWERHOUSE_1.TO_POWERHOUSE_2","Communication Status","Communications restored","2025-12-04 09:04:44.467","2025-12-04 09:04:44.467 (India Standard Time)","2025-12-04 09:24:57.823","2025-12-04 09:24:57.823 (India Standard Time)"
