"ID","Priority","Active","Type","Name","Source","Unacknowledged","Last Occurrence (Client Local) India Standard Time","Last Occurrence (Device Local)","Last Acknowledged (Client Local) India Standard Time","Last Acknowledged (Device Local)","First Occurrence (Client Local) India Standard Time","First Occurrence (Device Local)","Occurrences"
"100",194,0,"Under Voltage","Under Voltage – Voltage A-B","POWERHOUSE_1.MAIN_VCB",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"101",194,0,"Under Voltage","Under Voltage – Voltage B-C","POWERHOUSE_1.MAIN_VCB",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"102",194,0,"Under Voltage","Under Voltage – Voltage C-A","POWERHOUSE_1.MAIN_VCB",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"106",194,0,"Under Voltage","Under Voltage – Voltage A-B","POWERHOUSE_1.TO_POWERHOUSE_2",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"107",194,0,"Under Voltage","Under Voltage – Voltage B-C","POWERHOUSE_1.TO_POWERHOUSE_2",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"108",194,0,"Under Voltage","Under Voltage – Voltage C-A","POWERHOUSE_1.TO_POWERHOUSE_2",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"121",192,0,"Over Voltage","Over Voltage – Voltage A-B","POWERHOUSE_1.A_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"122",192,0,"Over Voltage","Over Voltage – Voltage B-C","POWERHOUSE_1.A_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"123",192,0,"Over Voltage","Over Voltage – Voltage C-A","POWERHOUSE_1.A_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"124",192,0,"Over Voltage","Over Voltage – Voltage A-B","POWERHOUSE_1.B_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"125",192,0,"Over Voltage","Over Voltage – Voltage B-C","POWERHOUSE_1.B_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"126",192,0,"Over Voltage","Over Voltage – Voltage C-A","POWERHOUSE_1.B_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"127",192,0,"Over Voltage","Over Voltage – Voltage A-B","POWERHOUSE_1.B_BLOCK_UPS",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"128",192,0,"Over Voltage","Over Voltage – Voltage B-C","POWERHOUSE_1.B_BLOCK_UPS",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"129",192,0,"Over Voltage","Over Voltage – Voltage C-A","POWERHOUSE_1.B_BLOCK_UPS",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"130",192,0,"Over Voltage","Over Voltage – Voltage A-B","POWERHOUSE_1.C_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"131",192,0,"Over Voltage","Over Voltage – Voltage B-C","POWERHOUSE_1.C_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"132",192,0,"Over Voltage","Over Voltage – Voltage C-A","POWERHOUSE_1.C_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"133",192,0,"Over Voltage","Over Voltage – Voltage A-B","POWERHOUSE_1.D_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"134",192,0,"Over Voltage","Over Voltage – Voltage B-C","POWERHOUSE_1.D_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"135",192,0,"Over Voltage","Over Voltage – Voltage C-A","POWERHOUSE_1.D_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"136",192,0,"Over Voltage","Over Voltage – Voltage A-B","POWERHOUSE_1.DG_1",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"137",192,0,"Over Voltage","Over Voltage – Voltage B-C","POWERHOUSE_1.DG_1",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"138",192,0,"Over Voltage","Over Voltage – Voltage C-A","POWERHOUSE_1.DG_1",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"139",192,0,"Over Voltage","Over Voltage – Voltage A-B","POWERHOUSE_1.E_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"140",192,0,"Over Voltage","Over Voltage – Voltage B-C","POWERHOUSE_1.E_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"141",192,0,"Over Voltage","Over Voltage – Voltage C-A","POWERHOUSE_1.E_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"142",192,0,"Over Voltage","Over Voltage – Voltage A-B","POWERHOUSE_1.FROM_POWERHOUSE_2",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"143",192,0,"Over Voltage","Over Voltage – Voltage B-C","POWERHOUSE_1.FROM_POWERHOUSE_2",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"144",192,0,"Over Voltage","Over Voltage – Voltage C-A","POWERHOUSE_1.FROM_POWERHOUSE_2",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"145",192,0,"Over Voltage","Over Voltage – Voltage A-B","POWERHOUSE_1.LIGHTING",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"146",192,0,"Over Voltage","Over Voltage – Voltage B-C","POWERHOUSE_1.LIGHTING",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"147",192,0,"Over Voltage","Over Voltage – Voltage C-A","POWERHOUSE_1.LIGHTING",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"149",192,0,"Over Voltage","Over Voltage – Voltage B-C","POWERHOUSE_1.POWERHOUSE_1_INCOMER",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"151",192,0,"Over Voltage","Over Voltage – Voltage A-B","POWERHOUSE_1.TO_POWERHOUSE_2",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"152",192,0,"Over Voltage","Over Voltage – Voltage B-C","POWERHOUSE_1.TO_POWERHOUSE_2",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"153",192,0,"Over Voltage","Over Voltage – Voltage C-A","POWERHOUSE_1.TO_POWERHOUSE_2",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"73",194,0,"Under Voltage","Under Voltage – Voltage A-B","POWERHOUSE_1.A_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"74",194,0,"Under Voltage","Under Voltage – Voltage B-C","POWERHOUSE_1.A_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"75",194,0,"Under Voltage","Under Voltage – Voltage C-A","POWERHOUSE_1.A_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"76",194,0,"Under Voltage","Under Voltage – Voltage A-B","POWERHOUSE_1.B_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"77",194,0,"Under Voltage","Under Voltage – Voltage B-C","POWERHOUSE_1.B_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"78",194,0,"Under Voltage","Under Voltage – Voltage C-A","POWERHOUSE_1.B_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"79",194,0,"Under Voltage","Under Voltage – Voltage A-B","POWERHOUSE_1.B_BLOCK_UPS",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"80",194,0,"Under Voltage","Under Voltage – Voltage B-C","POWERHOUSE_1.B_BLOCK_UPS",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"81",194,0,"Under Voltage","Under Voltage – Voltage C-A","POWERHOUSE_1.B_BLOCK_UPS",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"82",194,0,"Under Voltage","Under Voltage – Voltage A-B","POWERHOUSE_1.C_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"83",194,0,"Under Voltage","Under Voltage – Voltage B-C","POWERHOUSE_1.C_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"84",194,0,"Under Voltage","Under Voltage – Voltage C-A","POWERHOUSE_1.C_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"85",194,0,"Under Voltage","Under Voltage – Voltage A-B","POWERHOUSE_1.D_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"86",194,0,"Under Voltage","Under Voltage – Voltage B-C","POWERHOUSE_1.D_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"87",194,0,"Under Voltage","Under Voltage – Voltage C-A","POWERHOUSE_1.D_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"91",194,0,"Under Voltage","Under Voltage – Voltage A-B","POWERHOUSE_1.E_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"92",194,0,"Under Voltage","Under Voltage – Voltage B-C","POWERHOUSE_1.E_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"93",194,0,"Under Voltage","Under Voltage – Voltage C-A","POWERHOUSE_1.E_BLOCK",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"94",194,0,"Under Voltage","Under Voltage – Voltage A-B","POWERHOUSE_1.FROM_POWERHOUSE_2",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"95",194,0,"Under Voltage","Under Voltage – Voltage B-C","POWERHOUSE_1.FROM_POWERHOUSE_2",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"96",194,0,"Under Voltage","Under Voltage – Voltage C-A","POWERHOUSE_1.FROM_POWERHOUSE_2",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"97",194,0,"Under Voltage","Under Voltage – Voltage A-B","POWERHOUSE_1.LIGHTING",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"98",194,0,"Under Voltage","Under Voltage – Voltage B-C","POWERHOUSE_1.LIGHTING",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"99",194,0,"Under Voltage","Under Voltage – Voltage C-A","POWERHOUSE_1.LIGHTING",0,"Invalid","Invalid","Never","Never","Invalid","Invalid",0
"1",255,0,"System Status","System Alarm","LOGINSERTER.DESKTOP-80M4RUR",72,"2025-09-10 05:02:34.163","2025-09-09 16:32:34.163 (Pacific Daylight Time)","Never","Never","2023-11-27 00:06:31.872","2023-11-26 10:36:31.872 (Pacific Standard Time)",72
"2",128,1,"Backup Power","Setpoint 7 Status – Real Power Total@POWERHOUSE_1.B_BLOCK_UPS","VIP.DDD",262,"2026-01-28 09:30:47.000","2026-01-27 20:00:47.000 (Pacific Standard Time)","2024-05-06 14:19:55.248","2024-05-06 01:49:55.248 (Pacific Daylight Time)","2023-11-30 13:31:03.000","2023-11-30 00:01:03.000 (Pacific Standard Time)",288
"3",128,1,"General Setpoint","Setpoint 8 Status – Real Power Total@POWERHOUSE_1.E_BLOCK","VIP.DDD",91,"2026-01-28 09:30:48.000","2026-01-27 20:00:48.000 (Pacific Standard Time)","2024-05-06 14:19:55.248","2024-05-06 01:49:55.248 (Pacific Daylight Time)","2023-11-30 13:31:03.000","2023-11-30 00:01:03.000 (Pacific Standard Time)",100
"31",192,0,"Over Voltage","Over Voltage – Voltage A-B","POWERHOUSE_1.MAIN_VCB",2,"2023-11-30 16:02:09.468","2023-11-30 16:02:09.468 (India Standard Time)","Never","Never","2023-11-30 15:53:11.436","2023-11-30 15:53:11.436 (India Standard Time)",2
"32",192,0,"Over Voltage","Over Voltage – Voltage B-C","POWERHOUSE_1.MAIN_VCB",2,"2023-11-30 16:02:09.468","2023-11-30 16:02:09.468 (India Standard Time)","Never","Never","2023-11-30 15:53:11.436","2023-11-30 15:53:11.436 (India Standard Time)",2
"33",192,0,"Over Voltage","Over Voltage – Voltage C-A","POWERHOUSE_1.MAIN_VCB",0,"2023-11-30 16:02:09.468","2023-11-30 16:02:09.468 (India Standard Time)","2023-11-30 16:08:35.153","2023-11-30 16:08:35.153 (India Standard Time)","2023-11-30 15:53:11.436","2023-11-30 15:53:11.436 (India Standard Time)",2
"114",201,1,"Communication Status","Communication Status","POWERHOUSE_1.DG_1",211,"2026-01-28 09:36:11.704","2026-01-28 09:36:11.704 (India Standard Time)","2024-05-06 14:20:00.923","2024-05-06 14:20:00.923 (India Standard Time)","2023-12-01 07:59:41.201","2023-12-01 07:59:41.201 (India Standard Time)",266
"88",194,0,"Under Voltage","Under Voltage – Voltage A-B","POWERHOUSE_1.DG_1",26,"2026-01-21 08:30:33.355","2026-01-21 08:30:33.355 (India Standard Time)","2023-12-12 12:48:12.858","2023-12-12 12:48:12.858 (India Standard Time)","2023-12-01 08:02:10.958","2023-12-01 08:02:10.958 (India Standard Time)",28
"89",194,0,"Under Voltage","Under Voltage – Voltage B-C","POWERHOUSE_1.DG_1",24,"2026-01-21 08:30:33.355","2026-01-21 08:30:33.355 (India Standard Time)","2023-12-12 12:48:12.858","2023-12-12 12:48:12.858 (India Standard Time)","2023-12-01 08:02:10.958","2023-12-01 08:02:10.958 (India Standard Time)",26
"90",194,0,"Under Voltage","Under Voltage – Voltage C-A","POWERHOUSE_1.DG_1",18,"2026-01-21 08:30:33.355","2026-01-21 08:30:33.355 (India Standard Time)","2023-12-12 12:48:12.858","2023-12-12 12:48:12.858 (India Standard Time)","2023-12-01 08:02:10.958","2023-12-01 08:02:10.958 (India Standard Time)",20
"113",201,0,"Communication Status","Communication Status","POWERHOUSE_1.C_BLOCK",39,"2026-01-20 18:12:44.026","2026-01-20 18:12:44.026 (India Standard Time)","Never","Never","2023-12-07 09:05:24.731","2023-12-07 09:05:24.731 (India Standard Time)",39
"118",201,0,"Communication Status","Communication Status","POWERHOUSE_1.MAIN_VCB",230,"2026-01-28 16:38:32.203","2026-01-28 16:38:32.203 (India Standard Time)","Never","Never","2023-12-07 09:05:35.183","2023-12-07 09:05:35.183 (India Standard Time)",230
"119",201,0,"Communication Status","Communication Status","POWERHOUSE_1.POWERHOUSE_1_INCOMER",237,"2026-01-28 16:39:07.489","2026-01-28 16:39:07.489 (India Standard Time)","Never","Never","2023-12-07 09:05:43.565","2023-12-07 09:05:43.565 (India Standard Time)",237
"109",201,0,"Communication Status","Communication Status","POWERHOUSE_1.A_BLOCK",47,"2026-01-20 18:11:56.395","2026-01-20 18:11:56.395 (India Standard Time)","Never","Never","2023-12-08 08:47:38.187","2023-12-08 08:47:38.187 (India Standard Time)",47
"111",201,0,"Communication Status","Communication Status","POWERHOUSE_1.B_BLOCK_UPS",41,"2026-01-20 18:13:07.671","2026-01-20 18:13:07.671 (India Standard Time)","Never","Never","2023-12-12 13:18:10.520","2023-12-12 13:18:10.520 (India Standard Time)",41
"110",201,0,"Communication Status","Communication Status","POWERHOUSE_1.B_BLOCK",44,"2026-01-28 09:24:49.759","2026-01-28 09:24:49.759 (India Standard Time)","Never","Never","2023-12-12 13:18:13.215","2023-12-12 13:18:13.215 (India Standard Time)",44
"120",201,0,"Communication Status","Communication Status","POWERHOUSE_1.TO_POWERHOUSE_2",51,"2026-01-20 18:12:51.911","2026-01-20 18:12:51.911 (India Standard Time)","Never","Never","2023-12-12 13:18:14.601","2023-12-12 13:18:14.601 (India Standard Time)",51
"117",201,0,"Communication Status","Communication Status","POWERHOUSE_1.LIGHTING",37,"2026-01-20 18:11:51.530","2026-01-20 18:11:51.530 (India Standard Time)","Never","Never","2023-12-12 13:18:17.916","2023-12-12 13:18:17.916 (India Standard Time)",37
"115",201,0,"Communication Status","Communication Status","POWERHOUSE_1.E_BLOCK",42,"2026-01-20 18:12:51.783","2026-01-20 18:12:51.783 (India Standard Time)","Never","Never","2023-12-12 13:18:23.146","2023-12-12 13:18:23.146 (India Standard Time)",42
"112",201,0,"Communication Status","Communication Status","POWERHOUSE_1.D_BLOCK",45,"2026-01-20 18:11:51.850","2026-01-20 18:11:51.850 (India Standard Time)","Never","Never","2023-12-12 13:18:37.786","2023-12-12 13:18:37.786 (India Standard Time)",45
"116",201,0,"Communication Status","Communication Status","POWERHOUSE_1.FROM_POWERHOUSE_2",257,"2026-01-28 16:42:09.557","2026-01-28 16:42:09.557 (India Standard Time)","Never","Never","2023-12-14 16:11:14.191","2023-12-14 16:11:14.191 (India Standard Time)",257
"103",194,0,"Under Voltage","Under Voltage – Voltage A-B","POWERHOUSE_1.POWERHOUSE_1_INCOMER",3,"2026-01-25 11:32:49.569","2026-01-25 11:32:49.569 (India Standard Time)","Never","Never","2024-05-07 10:12:02.181","2024-05-07 10:12:02.181 (India Standard Time)",3
"105",194,0,"Under Voltage","Under Voltage – Voltage C-A","POWERHOUSE_1.POWERHOUSE_1_INCOMER",3,"2026-01-25 11:32:49.569","2026-01-25 11:32:49.569 (India Standard Time)","Never","Never","2024-05-07 10:14:02.278","2024-05-07 10:14:02.278 (India Standard Time)",3
"104",194,0,"Under Voltage","Under Voltage – Voltage B-C","POWERHOUSE_1.POWERHOUSE_1_INCOMER",4,"2026-01-25 11:32:49.569","2026-01-25 11:32:49.569 (India Standard Time)","Never","Never","2024-05-07 11:28:06.089","2024-05-07 11:28:06.089 (India Standard Time)",4
"150",192,0,"Over Voltage","Over Voltage – Voltage C-A","POWERHOUSE_1.POWERHOUSE_1_INCOMER",5,"2025-04-05 01:44:51.301","2025-04-05 01:44:51.301 (India Standard Time)","Never","Never","2024-05-20 03:41:40.613","2024-05-20 03:41:40.613 (India Standard Time)",5
"148",192,0,"Over Voltage","Over Voltage – Voltage A-B","POWERHOUSE_1.POWERHOUSE_1_INCOMER",3,"2024-08-12 01:35:08.084","2024-08-12 01:35:08.084 (India Standard Time)","Never","Never","2024-05-27 02:58:47.680","2024-05-27 02:58:47.680 (India Standard Time)",3
