"ID","Priority","Device Name","Event","Condition","Measurement","Value","Type","Start Time (Client Local) India Standard Time","Start Time (Device Local)","End Time (Client Local) India Standard Time","End Time (Device Local)"
"4373",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-25 11:17:54.142","2026-01-25 11:17:54.142 (India Standard Time)","2026-01-25 11:17:54.142","2026-01-25 11:17:54.142 (India Standard Time)"
"4374",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-25 11:18:16.323","2026-01-25 11:18:16.323 (India Standard Time)","2026-01-25 11:18:16.323","2026-01-25 11:18:16.323 (India Standard Time)"
"4375",201,"POWERHOUSE_1.DG_1","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-25 11:20:16.359","2026-01-25 11:20:16.359 (India Standard Time)","2026-01-25 11:20:16.359","2026-01-25 11:20:16.359 (India Standard Time)"
"4376",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-25 11:27:17.149","2026-01-25 11:27:17.149 (India Standard Time)","2026-01-25 11:27:17.149","2026-01-25 11:27:17.149 (India Standard Time)"
"4377",194,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Under Voltage","On","Voltage B-C","0.0","Pick up","2026-01-25 11:32:49.569","2026-01-25 11:32:49.569 (India Standard Time)","2026-01-25 11:32:49.569","2026-01-25 11:32:49.569 (India Standard Time)"
"4378",194,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Under Voltage","On","Voltage C-A","370.994","Pick up","2026-01-25 11:32:49.569","2026-01-25 11:32:49.569 (India Standard Time)","2026-01-25 11:32:49.569","2026-01-25 11:32:49.569 (India Standard Time)"
"4379",194,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Under Voltage","On","Voltage A-B","375.938","Pick up","2026-01-25 11:32:49.569","2026-01-25 11:32:49.569 (India Standard Time)","2026-01-25 11:32:49.569","2026-01-25 11:32:49.569 (India Standard Time)"
"4387",25,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Under Voltage","Extreme","Voltage B-C","0.0","Instantaneous","2026-01-25 11:32:49.569","2026-01-25 11:32:49.569 (India Standard Time)","2026-01-25 11:32:49.569","2026-01-25 11:32:49.569 (India Standard Time)"
"4391",25,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Under Voltage","Extreme","Voltage A-B","372.641","Instantaneous","2026-01-25 11:49:50.294","2026-01-25 11:49:50.294 (India Standard Time)","2026-01-25 11:49:50.294","2026-01-25 11:49:50.294 (India Standard Time)"
"4389",25,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Under Voltage","Extreme","Voltage C-A","352.687","Instantaneous","2026-01-25 11:55:50.770","2026-01-25 11:55:50.770 (India Standard Time)","2026-01-25 11:55:50.770","2026-01-25 11:55:50.770 (India Standard Time)"
"4380",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-25 12:09:20.568","2026-01-25 12:09:20.568 (India Standard Time)","2026-01-25 12:09:20.568","2026-01-25 12:09:20.568 (India Standard Time)"
"4381",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-25 12:45:57.908","2026-01-25 12:45:57.908 (India Standard Time)","2026-01-25 12:45:57.908","2026-01-25 12:45:57.908 (India Standard Time)"
"4382",201,"POWERHOUSE_1.DG_1","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-25 12:46:34.209","2026-01-25 12:46:34.209 (India Standard Time)","2026-01-25 12:46:34.209","2026-01-25 12:46:34.209 (India Standard Time)"
"4383",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-25 12:47:05.465","2026-01-25 12:47:05.465 (India Standard Time)","2026-01-25 12:47:05.465","2026-01-25 12:47:05.465 (India Standard Time)"
"4384",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-25 12:48:23.816","2026-01-25 12:48:23.816 (India Standard Time)","2026-01-25 12:48:23.816","2026-01-25 12:48:23.816 (India Standard Time)"
"4386",194,"POWERHOUSE_1.DG_1","Under Voltage","Off","Voltage C-A","415.089","Drop out","2026-01-25 12:49:15.649","2026-01-25 12:49:15.649 (India Standard Time)","2026-01-25 12:49:15.649","2026-01-25 12:49:15.649 (India Standard Time)"
"4388",194,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Under Voltage","Off","Voltage B-C","433.54","Drop out","2026-01-25 12:53:53.866","2026-01-25 12:53:53.866 (India Standard Time)","2026-01-25 12:53:53.866","2026-01-25 12:53:53.866 (India Standard Time)"
"4390",194,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Under Voltage","Off","Voltage C-A","437.826","Drop out","2026-01-25 12:53:53.866","2026-01-25 12:53:53.866 (India Standard Time)","2026-01-25 12:53:53.866","2026-01-25 12:53:53.866 (India Standard Time)"
"4392",194,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Under Voltage","Off","Voltage A-B","437.299","Drop out","2026-01-25 12:53:53.866","2026-01-25 12:53:53.866 (India Standard Time)","2026-01-25 12:53:53.866","2026-01-25 12:53:53.866 (India Standard Time)"
"4393",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-25 12:54:58.716","2026-01-25 12:54:58.716 (India Standard Time)","2026-01-25 12:54:58.716","2026-01-25 12:54:58.716 (India Standard Time)"
"4394",201,"POWERHOUSE_1.DG_1","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-25 13:55:40.046","2026-01-25 13:55:40.046 (India Standard Time)","2026-01-25 13:55:40.046","2026-01-25 13:55:40.046 (India Standard Time)"
"4395",201,"POWERHOUSE_1.DG_1","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-25 14:09:10.366","2026-01-25 14:09:10.366 (India Standard Time)","2026-01-25 14:09:10.366","2026-01-25 14:09:10.366 (India Standard Time)"
"4396",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-26 07:16:11.386","2026-01-26 07:16:11.386 (India Standard Time)","2026-01-26 07:16:11.386","2026-01-26 07:16:11.386 (India Standard Time)"
"4398",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-26 07:16:27.502","2026-01-26 07:16:27.502 (India Standard Time)","2026-01-26 07:16:27.502","2026-01-26 07:16:27.502 (India Standard Time)"
"4397",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-26 07:16:28.509","2026-01-26 07:16:28.509 (India Standard Time)","2026-01-26 07:16:28.509","2026-01-26 07:16:28.509 (India Standard Time)"
"4399",201,"POWERHOUSE_1.DG_1","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-26 07:18:03.457","2026-01-26 07:18:03.457 (India Standard Time)","2026-01-26 07:18:03.457","2026-01-26 07:18:03.457 (India Standard Time)"
"4400",128,"VIP.DDD","Setpoint 7 Status","ON","Real Power Total@POWERHOUSE_1.B_BLOCK_UPS","2.82","Pick up","2026-01-26 07:18:51.000","2026-01-25 17:48:51.000 (Pacific Standard Time)","2026-01-26 07:18:51.000","2026-01-25 17:48:51.000 (Pacific Standard Time)"
"4401",201,"POWERHOUSE_1.DG_1","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-26 07:24:03.990","2026-01-26 07:24:03.990 (India Standard Time)","2026-01-26 07:24:03.990","2026-01-26 07:24:03.990 (India Standard Time)"
"4403",194,"POWERHOUSE_1.DG_1","Under Voltage","Off","Voltage A-B","415.446","Drop out","2026-01-26 07:24:08.240","2026-01-26 07:24:08.240 (India Standard Time)","2026-01-26 07:24:08.240","2026-01-26 07:24:08.240 (India Standard Time)"
"4404",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-26 07:25:39.770","2026-01-26 07:25:39.770 (India Standard Time)","2026-01-26 07:25:39.770","2026-01-26 07:25:39.770 (India Standard Time)"
"4405",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-26 07:25:42.700","2026-01-26 07:25:42.700 (India Standard Time)","2026-01-26 07:25:42.700","2026-01-26 07:25:42.700 (India Standard Time)"
"4406",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-26 07:25:42.700","2026-01-26 07:25:42.700 (India Standard Time)","2026-01-26 07:25:42.700","2026-01-26 07:25:42.700 (India Standard Time)"
"4407",201,"POWERHOUSE_1.B_BLOCK","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-28 09:24:49.759","2026-01-28 09:24:49.759 (India Standard Time)","2026-01-28 09:24:49.759","2026-01-28 09:24:49.759 (India Standard Time)"
"4408",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-28 09:29:25.312","2026-01-28 09:29:25.312 (India Standard Time)","2026-01-28 09:29:25.312","2026-01-28 09:29:25.312 (India Standard Time)"
"4409",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-28 09:29:29.218","2026-01-28 09:29:29.218 (India Standard Time)","2026-01-28 09:29:29.218","2026-01-28 09:29:29.218 (India Standard Time)"
"4410",128,"VIP.DDD","Setpoint 7 Status","ON","Real Power Total@POWERHOUSE_1.B_BLOCK_UPS","13.04","Pick up","2026-01-28 09:30:47.000","2026-01-27 20:00:47.000 (Pacific Standard Time)","2026-01-28 09:30:47.000","2026-01-27 20:00:47.000 (Pacific Standard Time)"
"4411",128,"VIP.DDD","Setpoint 8 Status","ON","Real Power Total@POWERHOUSE_1.E_BLOCK","3.61","Pick up","2026-01-28 09:30:48.000","2026-01-27 20:00:48.000 (Pacific Standard Time)","2026-01-28 09:30:48.000","2026-01-27 20:00:48.000 (Pacific Standard Time)"
"4412",201,"POWERHOUSE_1.DG_1","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-28 09:32:41.874","2026-01-28 09:32:41.874 (India Standard Time)","2026-01-28 09:32:41.874","2026-01-28 09:32:41.874 (India Standard Time)"
"4413",201,"POWERHOUSE_1.B_BLOCK","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-28 09:33:48.973","2026-01-28 09:33:48.973 (India Standard Time)","2026-01-28 09:33:48.973","2026-01-28 09:33:48.973 (India Standard Time)"
"4414",201,"POWERHOUSE_1.DG_1","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-28 09:36:11.704","2026-01-28 09:36:11.704 (India Standard Time)","2026-01-28 09:36:11.704","2026-01-28 09:36:11.704 (India Standard Time)"
"4415",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-28 09:38:25.975","2026-01-28 09:38:25.975 (India Standard Time)","2026-01-28 09:38:25.975","2026-01-28 09:38:25.975 (India Standard Time)"
"4416",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-28 09:38:29.894","2026-01-28 09:38:29.894 (India Standard Time)","2026-01-28 09:38:29.894","2026-01-28 09:38:29.894 (India Standard Time)"
"4417",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-28 16:38:32.203","2026-01-28 16:38:32.203 (India Standard Time)","2026-01-28 16:38:32.203","2026-01-28 16:38:32.203 (India Standard Time)"
"4418",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-28 16:39:07.489","2026-01-28 16:39:07.489 (India Standard Time)","2026-01-28 16:39:07.489","2026-01-28 16:39:07.489 (India Standard Time)"
"4419",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Loss","Not Available","Not Available","Pick up","2026-01-28 16:42:09.557","2026-01-28 16:42:09.557 (India Standard Time)","2026-01-28 16:42:09.557","2026-01-28 16:42:09.557 (India Standard Time)"
"4420",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-28 16:47:32.314","2026-01-28 16:47:32.314 (India Standard Time)","2026-01-28 16:47:32.314","2026-01-28 16:47:32.314 (India Standard Time)"
"4421",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-28 16:48:05.791","2026-01-28 16:48:05.791 (India Standard Time)","2026-01-28 16:48:05.791","2026-01-28 16:48:05.791 (India Standard Time)"
"4422",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","OK","Not Available","Not Available","Drop out","2026-01-28 16:51:06.173","2026-01-28 16:51:06.173 (India Standard Time)","2026-01-28 16:51:06.173","2026-01-28 16:51:06.173 (India Standard Time)"
