"ID","Priority","Device Name","Alarm Name","Start Time (Client Local) India Standard Time","Start Time (Device Local)","End Time (Client Local) India Standard Time","End Time (Device Local)"
"1761",128,"VIP.DDD","Setpoint 7 Status","2025-11-06 07:45:36.000","2025-11-05 18:15:36.000 (Pacific Standard Time)","2025-11-06 07:45:36.000","2025-11-05 18:15:36.000 (Pacific Standard Time)"
"1768",128,"VIP.DDD","Setpoint 7 Status","2025-11-20 20:23:21.000","2025-11-20 06:53:21.000 (Pacific Standard Time)","2025-11-20 20:32:02.000","2025-11-20 07:02:02.000 (Pacific Standard Time)"
"1771",128,"VIP.DDD","Setpoint 7 Status","2025-11-26 10:16:12.000","2025-11-25 20:46:12.000 (Pacific Standard Time)","2025-11-26 10:16:12.000","2025-11-25 20:46:12.000 (Pacific Standard Time)"
"1778",128,"VIP.DDD","Setpoint 7 Status","2025-12-04 16:33:34.000","2025-12-04 03:03:34.000 (Pacific Standard Time)","2025-12-04 16:33:34.000","2025-12-04 03:03:34.000 (Pacific Standard Time)"
"1781",128,"VIP.DDD","Setpoint 7 Status","2025-12-17 14:03:04.000","2025-12-17 00:33:04.000 (Pacific Standard Time)","2025-12-17 14:03:04.000","2025-12-17 00:33:04.000 (Pacific Standard Time)"
"1787",128,"VIP.DDD","Setpoint 7 Status","2025-12-24 10:07:21.000","2025-12-23 20:37:21.000 (Pacific Standard Time)","2025-12-24 10:08:05.000","2025-12-23 20:38:05.000 (Pacific Standard Time)"
"1790",128,"VIP.DDD","Setpoint 7 Status","2025-12-24 15:25:29.000","2025-12-24 01:55:29.000 (Pacific Standard Time)","2025-12-24 15:25:29.000","2025-12-24 01:55:29.000 (Pacific Standard Time)"
"1793",128,"VIP.DDD","Setpoint 7 Status","2026-01-05 16:40:23.000","2026-01-05 03:10:23.000 (Pacific Standard Time)","2026-01-05 16:40:23.000","2026-01-05 03:10:23.000 (Pacific Standard Time)"
"1797",128,"VIP.DDD","Setpoint 7 Status","2026-01-11 07:52:20.000","2026-01-10 18:22:20.000 (Pacific Standard Time)","2026-01-11 07:52:20.000","2026-01-10 18:22:20.000 (Pacific Standard Time)"
"1804",128,"VIP.DDD","Setpoint 7 Status","2026-01-19 16:27:37.000","2026-01-19 02:57:37.000 (Pacific Standard Time)","2026-01-19 17:37:20.000","2026-01-19 04:07:20.000 (Pacific Standard Time)"
"1809",128,"VIP.DDD","Setpoint 7 Status","2026-01-20 18:56:38.000","2026-01-20 05:26:38.000 (Pacific Standard Time)","2026-01-20 18:56:38.000","2026-01-20 05:26:38.000 (Pacific Standard Time)"
"1812",128,"VIP.DDD","Setpoint 7 Status","2026-01-21 08:22:48.000","2026-01-20 18:52:48.000 (Pacific Standard Time)","2026-01-21 08:22:48.000","2026-01-20 18:52:48.000 (Pacific Standard Time)"
"1817",128,"VIP.DDD","Setpoint 7 Status","2026-01-21 14:06:31.000","2026-01-21 00:36:31.000 (Pacific Standard Time)","2026-01-21 14:06:31.000","2026-01-21 00:36:31.000 (Pacific Standard Time)"
"1825",128,"VIP.DDD","Setpoint 7 Status","2026-01-26 07:18:51.000","2026-01-25 17:48:51.000 (Pacific Standard Time)","2026-01-26 07:18:51.000","2026-01-25 17:48:51.000 (Pacific Standard Time)"
"1827",128,"VIP.DDD","Setpoint 7 Status","2026-01-28 09:30:47.000","2026-01-27 20:00:47.000 (Pacific Standard Time)","2026-01-28 09:30:47.000","2026-01-27 20:00:47.000 (Pacific Standard Time)"
