"ID","Priority","Device Name","Alarm Name","Start Time (Client Local) India Standard Time","Start Time (Device Local)","End Time (Client Local) India Standard Time","End Time (Device Local)"
"1819",201,"POWERHOUSE_1.MAIN_VCB, POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communications restored","2026-01-25 11:17:54.142","2026-01-25 11:17:54.142 (India Standard Time)","2026-01-25 12:47:05.465","2026-01-25 12:47:05.465 (India Standard Time)"
"1820",194,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","","2026-01-25 11:32:49.569","2026-01-25 11:32:49.569 (India Standard Time)","2026-01-25 12:53:53.866","2026-01-25 12:53:53.866 (India Standard Time)"
"1821",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communications restored","2026-01-25 12:09:20.568","2026-01-25 12:09:20.568 (India Standard Time)","2026-01-25 12:48:23.816","2026-01-25 12:48:23.816 (India Standard Time)"
"1822",201,"POWERHOUSE_1.DG_1, POWERHOUSE_1.FROM_POWERHOUSE_2","Communications restored","2026-01-25 12:45:57.908","2026-01-25 12:45:57.908 (India Standard Time)","2026-01-25 13:55:40.046","2026-01-25 13:55:40.046 (India Standard Time)"
"1823",201,"POWERHOUSE_1.DG_1","Communications restored","2026-01-25 14:09:10.366","2026-01-25 14:09:10.366 (India Standard Time)","2026-01-26 07:18:03.457","2026-01-26 07:18:03.457 (India Standard Time)"
"1824",201,"POWERHOUSE_1.DG_1, POWERHOUSE_1.FROM_POWERHOUSE_2, POWERHOUSE_1.MAIN_VCB, POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communications restored","2026-01-26 07:16:11.386","2026-01-26 07:16:11.386 (India Standard Time)","2026-01-28 09:32:41.874","2026-01-28 09:32:41.874 (India Standard Time)"
"1825",128,"VIP.DDD","Setpoint 7 Status","2026-01-26 07:18:51.000","2026-01-25 17:48:51.000 (Pacific Standard Time)","2026-01-26 07:18:51.000","2026-01-25 17:48:51.000 (Pacific Standard Time)"
"1826",201,"POWERHOUSE_1.B_BLOCK, POWERHOUSE_1.DG_1, POWERHOUSE_1.MAIN_VCB, POWERHOUSE_1.POWERHOUSE_1_INCOMER","1 Device currently Offline","2026-01-28 09:24:49.759","2026-01-28 09:24:49.759 (India Standard Time)","2026-01-28 09:38:29.894","2026-01-28 09:38:29.894 (India Standard Time)"
"1827",128,"VIP.DDD","Setpoint 7 Status","2026-01-28 09:30:47.000","2026-01-27 20:00:47.000 (Pacific Standard Time)","2026-01-28 09:30:47.000","2026-01-27 20:00:47.000 (Pacific Standard Time)"
"1828",128,"VIP.DDD","Setpoint 8 Status","2026-01-28 09:30:48.000","2026-01-27 20:00:48.000 (Pacific Standard Time)","2026-01-28 09:30:48.000","2026-01-27 20:00:48.000 (Pacific Standard Time)"
"1829",201,"POWERHOUSE_1.FROM_POWERHOUSE_2, POWERHOUSE_1.MAIN_VCB, POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communications restored","2026-01-28 16:38:32.203","2026-01-28 16:38:32.203 (India Standard Time)","2026-01-28 16:51:06.173","2026-01-28 16:51:06.173 (India Standard Time)"
